method,case_id,executable,python_version,implementation,platform,isolated_interpreters_support,ipe_available,ci_available,expected_classification,actual_classification,callable,executor_type,max_workers,main_pid,main_thread_id,worker_pid,worker_thread_id,interpreter_id,argument_type,result_type,serialization_expected,main_mutable_changed,worker_state_before,worker_state_after,initializer_result,queue_result,exception_type,exception_msg,exception_cause_type,exception_cause_msg,token_count_hash,serial_result_hash,elapsed_s,skip_reason,failure_reason,conclusion
inspect_api,python_version_marker,/usr/bin/python3,3.12.3,cpython,linux,missing,False,False,pass,pass,detect_api,,0,2286595,129319362539648,,,,,,False,,,,,,,,,,,,0.0,,,py=3.12.3 ipe=False ci=False
thread_pool_comparison,python_version_marker,/usr/bin/python3,3.12.3,cpython,linux,missing,False,False,local_observation,local_observation,,,0,2286595,129319362539648,,,,,,False,,,,,,,,,,,,1.205597072839737e-06,,,version observed
interpreter_pool_operation,python_version_marker,/usr/bin/python3,3.12.3,cpython,linux,missing,False,False,version_skip,version_skip,,,0,2286595,129319362539648,,,,,,False,,,,,,,,,,,,0.0,InterpreterPoolExecutor unavailable,,api missing
direct_interpreter_operation,python_version_marker,/usr/bin/python3,3.12.3,cpython,linux,missing,False,False,version_skip,version_skip,,,0,2286595,129319362539648,,,,,,False,,,,,,,,,,,,0.0,concurrent.interpreters unavailable,,api missing
hn_context_observation,python_version_marker,/usr/bin/python3,3.12.3,cpython,linux,missing,False,False,context_only,context_only,,,0,2286595,129319362539648,,,,,,False,,,,,,,,,,,,0.0,,,HN thread 44003445 read before README
inspect_api,isolated_interpreters_support_marker,/usr/bin/python3,3.12.3,cpython,linux,missing,False,False,pass,pass,detect_api,,0,2286595,129319362539648,,,,,,False,,,,,,,,,,,,0.0,,,py=3.12.3 ipe=False ci=False
thread_pool_comparison,isolated_interpreters_support_marker,/usr/bin/python3,3.12.3,cpython,linux,missing,False,False,not_applicable,not_applicable,,,0,2286595,129319362539648,,,,,,False,,,,,,,,,,,,0.0,,,n/a
interpreter_pool_operation,isolated_interpreters_support_marker,/usr/bin/python3,3.12.3,cpython,linux,missing,False,False,version_skip,version_skip,,,0,2286595,129319362539648,,,,,,False,,,,,,,,,,,,0.0,InterpreterPoolExecutor unavailable,,api missing
direct_interpreter_operation,isolated_interpreters_support_marker,/usr/bin/python3,3.12.3,cpython,linux,missing,False,False,version_skip,version_skip,,,0,2286595,129319362539648,,,,,,False,,,,,,,,,,,,0.0,concurrent.interpreters unavailable,,api missing
hn_context_observation,isolated_interpreters_support_marker,/usr/bin/python3,3.12.3,cpython,linux,missing,False,False,context_only,context_only,,,0,2286595,129319362539648,,,,,,False,,,,,,,,,,,,0.0,,,HN thread 44003445 read before README
inspect_api,interpreter_pool_executor_available_marker,/usr/bin/python3,3.12.3,cpython,linux,missing,False,False,pass,pass,detect_api,,0,2286595,129319362539648,,,,,,False,,,,,,,,,,,,0.0,,,py=3.12.3 ipe=False ci=False
